Download Code,D_num,Announced,Effective,GVKEY,PERMNO,TICKER,IBES Ticker,Company Name,COMPANY NAME - HISTORICAL,Company Name,URL,page,Start Date,End Date,Start Page,End Page,,Company,Start From Page,#of Page Visited,#of Page Downloaded,#of Records Downloaded,,
green,1460786020,12/18/2003,5/3/2004,61656,82734,PCOP,PCOP,ACCELRYS INC,ACCELRYS INC,ACCELRYS INC,https://www.glassdoor.com/Reviews/Accelrys-Reviews-E14299.htm,5,12/18/2002,5/3/2005,Not in range,,,ACCELRYS INC,1,5,0,0,,
green,1506840020,3/15/2004,6/8/2004,32280,89130,.,LBTY,LIBERTY MEDIA CORP,LIBERTY MEDIA CORP NEW,STARZ,https://www.glassdoor.com/Reviews/Liberty-Media-Reviews-E5991.htm,1,3/16/2003,6/8/2005,Not in range,spinoff 2012,,LIBERTY MEDIA CORP,1,1,0,0,,
green,1311101020,7/11/2002,11/9/2004,7759,58501,NPD,NPD,GP STRATEGIES CORP,G P STRATEGIES CORP,GP STRATEGIES CORP,https://www.glassdoor.com/Reviews/GP-Strategies-Reviews-E957.htm,94,7/11/2001,11/9/2005,Not in range,,,GP STRATEGIES CORP,93,2,0,0,,
green,1613492020,10/27/2004,11/15/2004,28924,79667,BKS,BKS,BARNES & NOBLE INC.,BARNES & NOBLE INC,BARNES & NOBLE INC,https://www.glassdoor.com/Reviews/Barnes-and-Noble-Reviews-E2439.htm,779,10/28/2003,11/15/2005,Not in range,,,BARNES & NOBLE INC.,778,2,0,0,,
green,1501311020,2/25/2004,11/30/2004,6435,17750,KMB,KMB,KIMBERLY-CLARK CORP,KIMBERLY CLARK CORP,KIMBERLY-CLARK CORP,https://www.glassdoor.com/Reviews/Kimberly-Clark-Reviews-E383.htm,294,2/25/2003,11/30/2005,Not in range,,,KIMBERLY-CLARK CORP,293,2,0,0,,
green,1527753020,5/18/2004,1/19/2005,1243,24264,AL,AL,ALCAN INC,ALCAN ALUMINUM LTD,ALCAN INC,https://www.glassdoor.com/Reviews/Alcan-Rolled-Products-Ravenswood-Reviews-E443282.htm,1,5/19/2003,1/19/2006,Not in range,,,ALCAN INC,1,1,0,0,,
green,1634892020,1/26/2005,6/28/2005,62655,83421,SWZA,SWZA,DEAN FOODS CO,DEAN FOODS CO NEW,DEAN FOODS CO,https://www.glassdoor.com/Reviews/Dean-Foods-Reviews-E3878.htm,62,1/27/2004,6/28/2006,Not in range,,,DEAN FOODS CO,61,2,0,0,,
duplicate,1651997020,3/15/2005,7/21/2005,32280,89130,LBTY,LBTY,LIBERTY MEDIA CORP,LIBERTY MEDIA CORP NEW,STARZ,https://www.glassdoor.com/Reviews/Liberty-Media-Reviews-E5991.htm,1,3/15/2004,7/21/2006,Not in range,,,LIBERTY MEDIA CORP,1,1,0,0,,
green,1637399020,1/19/2005,8/1/2005,14064,19289,MCC3,MCC3,MESTEK INC,MESTEK INC,MESTEK INC,https://www.glassdoor.com/Reviews/Mestek-Reviews-E443.htm,7,1/20/2004,8/1/2006,Not in range,,,MESTEK INC,1,7,0,0,,
Need Investigate,1678350020,12/15/2004,8/1/2005,10498,40694,TXI,TXI,TEXAS INDS INC,TEXAS INDUSTRIES INC,TEXAS INDUSTRIES INC,https://www.glassdoor.com/Reviews/Martin-Marietta-Materials-Reviews-E3568.htm,54,12/16/2003,8/1/2006,Not in range,,,TEXAS INDS INC,,,,,,
green,1626566020,12/21/2004,8/9/2005,26061,78840,SKTV,SKTV,IAC_INTERACTIVECORP,IAC INTERACTIVECORP,IAC/INTERACTIVECORP,https://www.glassdoor.com/Reviews/IAC-Reviews-E6672.htm,28,12/22/2003,8/9/2006,Not in range,,,IAC_INTERACTIVECORP,27,3,0,0,,
green,1661511020,4/29/2005,12/22/2005,3105,24046,CLCH,CLCH,CLEAR CHANNEL COMMUNICATIONS,CLEAR CHANNEL COMMUNICATIONS IN,IHEARTMEDIA INC,https://www.glassdoor.com/Reviews/Clear-Channel-Outdoor-Reviews-E635968.htm,59,4/29/2004,12/22/2006,Not in range,,,CLEAR CHANNEL COMMUNICATIONS,58,2,0,0,,
Need Investigate,1674219020,6/14/2005,1/3/2006,13714,75104,VIA,VIA,VIACOM INTL INC,VIACOM INC,CBS CORP,https://www.glassdoor.com/Reviews/Paramount-Reviews-E40260.htm,382,6/14/2004,1/3/2007,Inv,,,VIACOM INTL INC,,,,,,
green,1684048020,8/3/2005,1/3/2006,5284,83989,GCOM,GCOM,GRAY TELEVISION INC,GRAY TELEVISION INC,GRAY TELEVISION INC,https://www.glassdoor.com/Reviews/Gray-Television-Reviews-E4868.htm,51,8/3/2004,1/3/2007,Not in range,,,GRAY TELEVISION INC,50,2,0,0,,
green,1638823020,2/10/2005,9/6/2006,9411,22840,SLE,SLE,HILLSHIRE BRANDS CO,HILLSHIRE BRANDS CO,HILLSHIRE BRANDS CO,https://www.glassdoor.com/Reviews/Hillshire-Brands-Reviews-E624483.htm,13,2/11/2004,9/6/2007,Not in range,,,HILLSHIRE BRANDS CO,12,2,0,0,,
Need Investigate,1730664020,1/26/2006,10/2/2006,25157,77546,FDC1,FDC1,FIRST DATA,FIRST DATA CORP,FIRST DATA CORP,https://www.glassdoor.com/Reviews/Fiserv-Reviews-E1384.htm,1030,1/26/2005,10/2/2007,Inv,,,FIRST DATA,,,,,,
green,1769501020,6/19/2006,11/17/2006,1239,42083,ACV,ACV,ALBERTO CULVER CO,ALBERTO CULVER CO NEW,ALBERTO-CULVER CO,https://www.glassdoor.com/Reviews/Alberto-Culver-Reviews-E21.htm,5,6/19/2005,11/17/2007,Not in range,,,ALBERTO CULVER CO,1,6,0,0,,
green,1717019020,12/5/2005,11/20/2006,2136,65875,BEL,BEL,VERIZON COMMUNICATIONS INC,VERIZON COMMUNICATIONS INC,VERIZON COMMUNICATIONS INC,https://www.glassdoor.com/Reviews/Verizon-Reviews-E89.htm,3467,12/5/2004,11/20/2007,Not in range,,,VERIZON COMMUNICATIONS INC,3466,3,0,0,,
green,1781948020,8/2/2006,4/2/2007,1891,44644,AUD,AUD,AUTOMATIC DATA PROCESSING INC,AUTOMATIC DATA PROCESSING INC,AUTOMATIC DATA PROCESSING,https://www.glassdoor.com/Reviews/ADP-Reviews-E64.htm,2147,8/2/2005,4/1/2008,Not in range,,,AUTOMATIC DATA PROCESSING INC,2146,3,0,0,,
green,1727788020,1/13/2006,7/2/2007,10787,45356,TYC,TYC,JOHNSON CONTROLS INTERNATIONAL P,JOHNSON CONTROLS INTL PLC,TYCO INTERNATIONAL PLC,https://www.glassdoor.com/Reviews/Johnson-Controls-Reviews-E365.htm,913,1/13/2005,7/1/2008,912,End,,JOHNSON CONTROLS INTERNATIONAL P,911,3,2,16,,
green,1828427020,1/8/2007,10/1/2007,7648,84372,NCR,NCR,NCR CORPORATION,N C R CORP NEW,NCR CORP,https://www.glassdoor.com/Reviews/NCR-Reviews-E4212.htm,762,1/8/2006,9/30/2008,760,End,,NCR CORPORATION,759,4,3,27,,
green,1869388020,4/19/2007,11/1/2007,142460,88991,PEAB,PEAB,PEABODY ENERGY CORP,PEABODY ENERGY CORP,PEABODY ENERGY CORP,https://www.glassdoor.com/Reviews/Peabody-Reviews-E8046.htm,28,4/19/2006,10/31/2008,Not in range,,,PEABODY ENERGY CORP,27,2,0,0,,
green,1890896020,7/23/2007,11/1/2007,146017,89216,AYI,AYI,ACUITY BRANDS INC,ACUITY BRANDS INC,ACUITY BRANDS INC,https://www.glassdoor.com/Reviews/Acuity-Inc-Reviews-E13436.htm,63,7/23/2006,10/31/2008,63,End,,ACUITY BRANDS INC,62,2,1,4,,
green,1899036020,7/2/2007,11/14/2007,145512,89265,APPX,APPX,APP PHARMACEUTICALS INC,A P P PHARMACEUTICALS INC,APP PHARMACEUTICALS INC,https://www.glassdoor.com/Reviews/APP-Pharmaceuticals-Reviews-E43267.htm,1,7/2/2006,11/13/2008,All,,,APP PHARMACEUTICALS INC,1,1,0,0,,
green,1843920020,2/26/2007,12/31/2007,10426,66114,TIN,TIN,TEMPLE INLAND INC,TEMPLE INLAND INC,TEMPLE-INLAND INC,https://www.glassdoor.com/Reviews/Temple-Inland-Reviews-E645.htm,7,2/26/2006,12/30/2008,All,,,TEMPLE INLAND INC,1,7,0,0,,
Need Investigate,1916095020,10/18/2007,1/31/2008,29887,88681,WW,WW,WATSON WYATT WORLDWIDE INC,WATSON WYATT & CO HOLDINGS,TOWERS WATSON & CO,https://www.glassdoor.com/Reviews/WTW-Reviews-E1122768.htm,771,10/18/2006,1/30/2009,Inv,,,WATSON WYATT WORLDWIDE INC,,,,,,
Not Found,1911231020,10/1/2007,2/11/2008,2150,65509,BLC,BLC,BELO CORP,BELO A H CORP,BELO CORP -SER A COM,,,10/1/2006,2/10/2009,Not found,,,BELO CORP,,,,,,
green,1777138020,5/10/2007,4/1/2008,5639,52716,HB,HB,HILL-ROM HOLDINGS INC,HILL ROM HOLDINGS INC,HILL-ROM HOLDINGS INC,https://www.glassdoor.com/Reviews/Hill-Rom-Reviews-E19740.htm,58,5/10/2006,4/1/2009,Not in range,,,HILL-ROM HOLDINGS INC,57,2,1,6,,
green,1915098020,10/16/2007,7/1/2008,14535,84176,EWSC,EWSC,E. W. SCRIPPS CO,SCRIPPS E W CO OHIO,EW SCRIPPS -CL A,https://www.glassdoor.com/Reviews/The-E-W-Scripps-Company-Reviews-E1355.htm,64,10/16/2006,7/1/2009,63,End,,E. W. SCRIPPS CO,62,3,2,11,,
green,1919100020,10/25/2007,7/3/2008,165993,89003,CEY,CEY,FIDELITY NATIONAL INFORMATION SE,FIDELITY NATIONAL INFO SVCS INC,FIDELITY NATIONAL INFO SVCS,https://www.glassdoor.com/Reviews/FIS-Reviews-E313114.htm,1265,10/25/2006,7/3/2009,1259,End,,FIDELITY NATIONAL INFORMATION SE,1258,8,7,62,,
green,1921829020,10/29/2007,8/1/2008,142811,89004,FTI1,FTI1,FMC TECHNOLOGIES INC,F M C TECHNOLOGIES INC,FMC TECHNOLOGIES INC,https://www.glassdoor.com/Reviews/FMC-Technologies-Reviews-E13228.htm,64,10/29/2006,8/1/2009,,,,FMC TECHNOLOGIES INC,63,3,1,10,,
Not Found,1925083020,11/14/2007,8/19/2008,61880,84067,INB,INB,,,INTEGRATED BIOPHARMA INC,,1,11/14/2006,8/19/2009,,,,,,,,,,
green,1921929020,11/5/2007,8/21/2008,26061,78840,SKTV,SKTV,IAC_INTERACTIVECORP,IAC INTERACTIVECORP,IAC/INTERACTIVECORP,https://www.glassdoor.com/Reviews/IAC-Reviews-E6672.htm,28,11/5/2006,8/21/2009,,,,IAC-INTERACTIVECORP,24,6,4,40,,
green,1934978020,12/13/2007,9/26/2008,164296,90805,DCHA,DCHA,DISCOVERY INC,DISCOVERY COMMUNICATIONS INC,DISCOVERY INC,https://www.glassdoor.com/Reviews/Discovery-Inc-Reviews-E4220.htm,156,12/13/2006,9/26/2009,,,,DISCOVERY INC,153,4,3,25,,
green,1955865020,2/26/2008,10/1/2008,64165,84320,MAST,MAST,IGATE CORP,IGATE CORP,IGATE CORP,https://www.glassdoor.com/Reviews/IGATE-Reviews-E3280.htm,279,2/26/2007,10/1/2009,,,,IGATE CORP,277,3,2,11,,
green,1955205020,2/25/2008,11/3/2008,28590,18649,PZB,PZB,BRINKS CO,BRINKS CO,BRINKS CO,https://www.glassdoor.com/Reviews/Brink-s-Incorporated-Reviews-E8230.htm,167,2/25/2007,11/3/2009,,,,BRINKS CO,166,2,1,6,,
green,1970203020,4/17/2008,12/17/2008,8692,49744,PCH,PCH,POTLATCHDELTIC CORP,POTLATCH CORP NEW,POTLATCHDELTIC CORP,https://www.glassdoor.com/Reviews/PotlatchDeltic-Reviews-E2565692.htm,3,4/18/2007,12/17/2009,,,,POTLATCHDELTIC CORP,1,3,0,0,,
Need Investigate,1974055020,4/30/2008,3/27/2009,25056,77418,AMER,AMER,TIME WARNER INC,TIME WARNER INC NEW,TIME WARNER INC,https://www.glassdoor.com/Reviews/Time-Warner-Cable-Reviews-E4297719.htm,20,5/1/2007,3/27/2010,merge to warner bros. discovery in 2022,,,TIME WARNER INC,,,,,,
green,2081682020,10/20/2008,7/1/2009,61399,82508,MYGN,MYGN,MYRIAD GENETICS INC,MYRIAD GENETICS INC,MYRIAD GENETICS INC,https://www.glassdoor.com/Reviews/Myriad-Genetics-Reviews-E4720.htm,64,10/21/2007,7/1/2010,,,,MYRIAD GENETICS INC,63,2,1,9,,
green,2037973020,8/8/2008,8/25/2009,14908,12074,PRDE,PRDE,PRIDE INTERNATIONAL INC,PRIDE INTERNATIONAL INC DEL,PRIDE INTERNATIONAL INC,https://www.glassdoor.com/Reviews/Pride-International-Reviews-E1801.htm,2,8/9/2007,8/25/2010,,,,PRIDE INTERNATIONAL INC,1,2,1,1,,
green,2002678020,8/7/2008,9/1/2009,2751,21371,CDIC,CDIC,CARDINAL HEALTH INC,CARDINAL HEALTH INC,CARDINAL HEALTH INC,https://www.glassdoor.com/Reviews/Cardinal-Health-Reviews-E1227.htm,481,8/8/2007,9/1/2010,,,,CARDINAL HEALTH INC,471,11,9,85,,
green,2073486020,5/13/2009,9/15/2009,62396,88988,IDTC,IDTC,IDT CORP,I D T CORP,IDT CORP,https://www.glassdoor.com/Reviews/IDT-Reviews-E5817.htm,36,5/13/2008,9/15/2010,,,,IDT CORP,34,3,2,17,,
Need Investigate,2069415020,5/28/2009,12/10/2009,25056,77418,AMER,AMER,TIME WARNER INC,TIME WARNER INC NEW,TIME WARNER INC,https://www.glassdoor.com/Reviews/Time-Warner-Cable-Reviews-E4297719.htm,20,5/28/2008,12/10/2010,merge to warner bros. discovery in 2022,,,TIME WARNER INC,,,,,,
green,2122200020,10/27/2009,6/15/2010,61871,82837,PPDI,PPDI,PHARMACEUTICAL PRODUCT DEVELPMNT,PHARMACEUTICAL PRODUCT DEV INC,PHARMACEUTICAL PROD DEV INC,https://www.glassdoor.com/Reviews/PPD-Reviews-E5695.htm,383,10/27/2008,6/15/2011,,,,PHARMACEUTICAL PRODUCT DEVELPMNT,376,8,7,68,,
green,2122041020,10/27/2009,7/7/2010,11191,57808,VSH,VSH,VISHAY INTERTECHNOLOGY INC,VISHAY INTERTECHNOLOGY INC,VISHAY INTERTECHNOLOGY INC,https://www.glassdoor.com/Reviews/Vishay-Reviews-E706.htm,29,10/27/2008,7/7/2011,,,,VISHAY INTERTECHNOLOGY INC,27,3,2,19,,
green,2134950020,12/7/2009,8/2/2010,7152,64629,MDR,MDR,MCDERMOTT INTERNATIONAL INC,MCDERMOTT INTERNATIONAL INC,MCDERMOTT INTL INC,https://www.glassdoor.com/Reviews/McDermott-Reviews-E431.htm,142,12/7/2008,8/2/2011,,,,MCDERMOTT INTERNATIONAL INC,140,3,2,18,,
Need Investigate,2215677020,4/8/2010,9/27/2010,22373,87053,ATCP,ATCP,LRAD CORP,L R A D CORP,LRAD CORP,??,,4/8/2009,9/27/2011,,,,LRAD CORP,,,,,,
green,1963668020,3/26/2008,1/4/2011,7585,22779,MOT,MOT,MOTOROLA SOLUTIONS INC,MOTOROLA SOLUTIONS INC,MOTOROLA SOLUTIONS INC,https://www.glassdoor.com/Reviews/Motorola-Solutions-Reviews-E427189.htm,445,3/27/2007,1/4/2012,,,,MOTOROLA SOLUTIONS INC,442,4,3,24,,
green,2284811020,7/13/2010,3/31/2011,7985,24766,NOC,NOC,NORTHROP GRUMMAN CORP,NORTHROP CORP,NORTHROP GRUMMAN CORP,https://www.glassdoor.com/Reviews/Northrop-Grumman-Reviews-E488.htm,1274,7/13/2009,3/30/2012,,,,NORTHROP GRUMMAN CORP,1198,54,52,520,,
green,2270499020,1/13/2011,7/1/2011,7017,15069,MRO1,MRO1,MARATHON OIL CORP,MARATHON OIL CORP,MARATHON OIL CORP,https://www.glassdoor.com/Reviews/Marathon-Oil-Reviews-E8229.htm,47,1/13/2010,6/30/2012,,,,MARATHON OIL CORP,42,6,4,40,110,1019
green,2240450020,12/8/2010,10/4/2011,1408,10025,AMB,AEPI,AEP INDUSTRIES INCORPORATED,A E P INDUSTRIES INC,BEAM INC,https://www.glassdoor.com/Reviews/AEP-Industries-Reviews-E1078.htm,4,12/8/2009,10/3/2012,,,,AEP INDUSTRIES INCORPORATED,1,4,1,5,,
duplicate,2340793020,11/5/2010,10/31/2011,62396,88988,IDTC,IDTC,IDT CORP,I D T CORP,IDT CORP,https://www.glassdoor.com/Reviews/IDT-Reviews-E5817.htm,36,11/5/2009,10/30/2012,,,,IDT CORP,33,4,3,27,,
Need Investigate,2247301020,12/8/2010,11/1/2011,165845,91099,NTLS,NTLS,NTELOS HOLDINGS CORP,NTELOS HOLDINGS CORP,NTELOS HOLDINGS CORP,https://www.glassdoor.com/Reviews/Shentel-Reviews-E6931.htm,19,12/8/2009,10/31/2012,,,,NTELOS HOLDINGS CORP,,,,,,
green,2269869020,1/12/2011,11/1/2011,5860,12570,ITT,IIN,ITT CORPORATION,I T T CORP,ITT INC,https://www.glassdoor.com/Reviews/ITT-Reviews-E4315.htm,42,1/12/2010,10/31/2012,,,,ITT CORPORATION,35,7,4,40,,
green,2280274020,2/14/2011,11/22/2011,28930,85913,MHS,MHS,MARRIOTT INTERNATIONAL INC,MARRIOTT INTERNATIONAL INC NEW,MARRIOTT INTL INC,https://www.glassdoor.com/Reviews/Marriott-International-Reviews-E7790.htm,1837,2/14/2010,11/21/2012,,,,MARRIOTT INTERNATIONAL INC,1784,43,41,410,,
green,2298785020,4/7/2011,12/21/2011,126296,90808,EXPE,EXPE,EXPEDIA GROUP INC,EXPEDIA INC DE,EXPEDIA GROUP INC,https://www.glassdoor.com/Reviews/Expedia-Group-Reviews-E9876.htm,748,4/7/2010,12/20/2012,,,,EXPEDIA GROUP INC,706,25,23,230,,
green,2322236020,6/23/2011,1/3/2012,6307,89757,KMRT,KMRT,SEARS HOLDINGS CORP,SEARS HOLDINGS CORP,SEARS HOLDINGS CORP,https://www.glassdoor.com/Reviews/Sears-Reviews-E37984.htm,1468,6/23/2010,1/2/2013,,,,SEARS HOLDINGS CORP,1306,29,27,270,,
Need Investigate,2329249020,7/14/2011,2/6/2012,29942,84584,RAH1,RAH1,"RALCORP HOLDINGS, INC.",RALCORP HOLDINGS INC NEW,RALCORP HOLDINGS INC,https://www.glassdoor.com/Reviews/Conagra-Brands-Reviews-E172.htm,186,7/14/2010,2/5/2013,,,,"RALCORP HOLDINGS, INC.",,,,,,
Not Found,2348102020,9/26/2011,4/27/2012,179605,92594,RXII,RXII,SELLAS LIFE SCIENCES GROUP INC,SELLAS LIFE SCIENCES GROUP INC,GALENA BIOPHARMA INC,,,9/26/2010,4/27/2013,,,,SELLAS LIFE SCIENCES GROUP INC,,,,,,
green,2328994020,7/14/2011,5/1/2012,8549,13928,P,P,CONOCOPHILLIPS,CONOCOPHILLIPS,CONOCOPHILLIPS,https://www.glassdoor.com/Reviews/ConocoPhillips-Reviews-E14933.htm,145,7/14/2010,5/1/2013,,,,CONOCOPHILLIPS,124,17,15,150,,
green,2284965020,2/24/2011,5/8/2012,176249,91678,TAST,TAST,CARROLS RESTAURANT GROUP INC,CARROLS RESTAURANT GROUP INC,CARROLS RESTAURANT GROUP INC,https://www.glassdoor.com/Reviews/Carrols-Reviews-E8390.htm,28,2/24/2010,5/8/2013,,,,CARROLS RESTAURANT GROUP INC,26,3,2,13,,
duplicate,2318902020,1/28/2011,6/28/2012,9411,22840,SLE,SLE,HILLSHIRE BRANDS CO,HILLSHIRE BRANDS CO,HILLSHIRE BRANDS CO,https://www.glassdoor.com/Reviews/Hillshire-Brands-Reviews-E624483.htm,13,1/28/2010,6/28/2013,,,,HILLSHIRE BRANDS CO,12,2,1,7,,
green,2368043020,12/1/2011,7/2/2012,1254,11691,MATX,ALEX,MATSON INC,MATSON INC,MATSON INC,https://www.glassdoor.com/Reviews/Matson-Reviews-E25406.htm,13,12/1/2010,7/2/2013,,,,MATSON INC,11,3,2,19,,
Need Investigate,2428081020,7/28/2011,7/18/2012,110685,86021,LLL,LLL,L3 TECHNOLOGIES INC,L 3 TECHNOLOGIES INC,L3 TECHNOLOGIES INC,https://www.glassdoor.com/Reviews/L3Harris-Reviews-E2898734.htm,492,7/28/2010,7/18/2013,,,,L3 TECHNOLOGIES INC,,,,,,
green,2429502020,6/28/2012,9/28/2012,7938,28118,NCCO,NC1,NACCO INDUSTRIES INC,NACCO INDUSTRIES INC,NACCO INDUSTRIES -CL A,https://www.glassdoor.com/Reviews/NACCO-Industries-Reviews-E455.htm,1,6/29/2011,9/28/2013,,,,NACCO INDUSTRIES INC,1,1,0,0,,
duplicate,2345908020,9/19/2011,10/1/2012,10787,45356,TYC,TYC,JOHNSON CONTROLS INTERNATIONAL P,JOHNSON CONTROLS INTL PLC,TYCO INTERNATIONAL PLC,https://www.glassdoor.com/Reviews/Johnson-Controls-Reviews-E365.htm,913,9/19/2010,10/1/2013,,,,JOHNSON CONTROLS INTERNATIONAL P,873,33,31,310,,
green,2334734020,8/4/2011,10/2/2012,142953,89006,KFT,KFT,MONDELEZ INTERNATIONAL INC,MONDELEZ INTERNATIONAL INC,MONDELEZ INTERNATIONAL INC,https://www.glassdoor.com/Reviews/Mondel%C4%93z-International-Reviews-E628257.htm,464,8/4/2010,10/2/2013,,,,MONDELEZ INTERNATIONAL INC,459,7,5,50,,
Not Found,2458646020,10/9/2012,10/9/2012,140529,88746,INV,UTKC,INNOVARO INC,INNOVARO INC,INNOVARO INC,,1,10/10/2011,10/9/2013,,,,INNOVARO INC,,,,,,
Need Investigate,2379016020,1/11/2012,11/1/2012,12884,10942,CMVT,CMVT,COMVERSE TECHNOLOGY INC,COMVERSE TECHNOLOGY INC,COMVERSE TECHNOLOGY INC,https://www.glassdoor.com/Reviews/Verint-Reviews-E14765.htm,124,1/11/2011,11/1/2013,,,,COMVERSE TECHNOLOGY INC,,,,,,
green,###############################################################################################################################################################################################################################################################,12/6/2012,12/24/2012,11/20/2401,7/27/2154,ASPS,ASPS,ALTISOURCE PORTFOLIO SOLUTINS SA,ALTISOURCE PORTFOLIO SLTNS S A,ALTISOURCE PORTFOLIO SOLTNS,https://www.glassdoor.com/Reviews/Altisource-Reviews-E314037.htm,187,12/7/2011,12/24/2013,,,,ALTISOURCE PORTFOLIO SOLUTINS SA,170,17,15,150,,
green,2355953020,8/8/2012,1/2/2013,1078,20482,ABT,ABT,ABBOTT LABORATORIES,ABBOTT LABORATORIES,ABBOTT LABORATORIES,https://www.glassdoor.com/Reviews/Abbott-Reviews-E12.htm,904,8/9/2011,1/2/2014,,,,ABBOTT LABORATORIES,834,47,45,450,,
green,2440857020,8/8/2012,1/11/2013,32280,13008,LVNT,LCAP,STARZ ACQUISITION LLC,STARZ,STARZ,https://www.glassdoor.com/Reviews/Starz-Reviews-E13645.htm,33,8/9/2011,1/11/2014,,,,STARZ ACQUISITION LLC,29,5,3,30,,
green,2487032020,1/14/2013,2/1/2013,26021,78137,CKH,CKOR,SEACOR HOLDINGS INC,SEACOR HOLDINGS INC,SEACOR HOLDINGS INC,https://www.glassdoor.com/Reviews/SEACOR-Reviews-E1439.htm,3,1/15/2012,2/1/2014,,,,SEACOR HOLDINGS INC,1,3,0,0,,
green,2438406020,7/31/2012,5/2/2013,15247,85269,VLO,VLO,VALERO ENERGY CORP,VALERO ENERGY CORP NEW,VALERO ENERGY CORP,https://www.glassdoor.com/Reviews/Valero-Reviews-E704.htm,76,8/1/2011,5/2/2014,,,,VALERO ENERGY CORP,68,7,5,50,,
duplicate,2317826020,12/15/2011,7/1/2013,177264,92156,COV,COV,COVIDIEN PUBLIC LIMITED COMPANY,COVIDIEN PLC,COVIDIEN PLC,https://www.glassdoor.com/Reviews/Covidien-Reviews-E14570.htm,82,12/15/2010,7/1/2014,958,,,COVIDIEN PUBLIC LIMITED COMPANY,45,32,30,300,,
green,2428061020,6/28/2012,7/1/2013,12886,90441,NWSA,NWS/1,NEWS CORP INC,NEWS CORP,TWENTY-FIRST CENTURY FOX INC,https://www.glassdoor.com/Reviews/News-Corp-Reviews-E3493.htm,97,6/29/2011,7/1/2014,,,,NEWS CORP INC,92,6,4,40,,
duplicate,2546815020,5/7/2013,8/1/2013,62396,88988,IDT,IDTC,IDT CORP,I D T CORP,IDT CORP,https://www.glassdoor.com/Reviews/IDT-Reviews-E5817.htm,36,5/7/2012,8/1/2014,,,,IDT CORP,31,6,4,40,,
green,2459735020,10/16/2012,9/3/2013,7620,28345,MUR,MUR,MURPHY OIL CORP,MURPHY OIL CORP,MURPHY OIL CORP,https://www.glassdoor.com/Reviews/Murphy-Oil-Corporation-Reviews-E453.htm,60,10/17/2011,9/3/2014,,,,MURPHY OIL CORP,46,12,10,100,,
green,2446365020,8/30/2012,9/30/2013,165123,91547,LODS,SAIC,LEIDOS HOLDINGS INC,LEIDOS HOLDINGS INC,LEIDOS HOLDINGS INC,https://www.glassdoor.com/Reviews/Leidos-Reviews-E730545.htm,481,8/31/2011,9/30/2014,,,,LEIDOS HOLDINGS INC,464,18,17,168,,
green,2470936020,8/1/2012,11/1/2013,124198,87261,UNTD,NZRO,UNITED ONLINE INC,UNITED ONLINE INC,UNITED ONLINE INC,https://www.glassdoor.com/Reviews/United-Online-Reviews-E13511.htm,15,8/2/2011,11/1/2014,,,,UNITED ONLINE INC,9,7,5,50,,
green,2468735020,11/15/2012,11/4/2013,30259,80563,PENN,PENN,PENN NATIONAL GAMING INC,PENN NATIONAL GAMING INC,PENN NATIONAL GAMING INC,https://www.glassdoor.com/Reviews/PENN-Entertainment-Inc-Reviews-E2669.htm,57,11/16/2011,11/4/2014,,,,PENN NATIONAL GAMING INC,52,6,5,48,,
green,2507810020,3/25/2013,11/6/2013,141469,88839,HBIO,HBIO,HARVARD BIOSCIENCE INC,HARVARD BIOSCIENCE INC,HARVARD BIOSCIENCE INC,https://www.glassdoor.com/Reviews/Harvard-Bioscience-Reviews-E12691.htm,5,3/25/2012,11/6/2014,,,,HARVARD BIOSCIENCE INC,1,5,1,7,,
green,9999999000,12/9/2012,12/2/2013,5959,12431,IR,IR,INGERSOLL RAND PLC,INGERSOLL RAND PLC,INGERSOLL-RAND PLC,https://www.glassdoor.com/Reviews/Ingersoll-Rand-Reviews-E3248638.htm,89,12/10/2011,12/2/2014,,,,INGERSOLL RAND PLC,88,2,0,0,,
green,2553535020,8/8/2013,1/28/2014,175064,13167,SGYP,PWFF,SYNERGY PHARMACEUTICALS INC,SYNERGY PHARMACEUTICALS INC,SYNERGY PHARMACEUTICALS INC,https://www.glassdoor.com/Reviews/Synergy-Pharmaceuticals-Reviews-E38032.htm,2,8/8/2012,1/28/2015,,,,SYNERGY PHARMACEUTICALS INC,1,1,0,0,,
green,2465216020,5/11/2012,3/3/2014,4058,25953,DOV,DOV,DOVER CORP,DOVER CORP,DOVER CORP,https://www.glassdoor.com/Reviews/Dover-Corporation-Reviews-E206.htm,47,5/12/2011,3/3/2015,,,,DOVER CORP,43,5,3,30,,
duplicate,2579746020,10/29/2013,4/7/2014,6307,89757,SHLD,KMRT,SEARS HOLDINGS CORP,SEARS HOLDINGS CORP,SEARS HOLDINGS CORP,https://www.glassdoor.com/Reviews/Sears-Reviews-E37984.htm,1468,10/29/2012,4/7/2015,,,,SEARS HOLDINGS CORP,1007,312,311,3110,,
green,2551064020,7/30/2013,6/2/2014,142260,88897,OIS,OIS,OIL STATES INTERNATIONAL INC,OIL STATES INTERNATIONAL INC,OIL STATES INTL INC,https://www.glassdoor.com/Reviews/Oil-States-International-Reviews-E12394.htm,5,7/30/2012,6/2/2015,,,,OIL STATES INTERNATIONAL INC,1,6,2,20,,
